timestamp,videogames,genre,differentgames,music,mmo,openworld,rpg ,action,racing,sports,rhythm,fighting,platform,adventure,strategy
11/1/2023 20:59:30,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Adventure",2,512,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
11/1/2023 21:11:49,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure",3,2100,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
11/1/2023 22:28:46,Yes,"Sports, Open World, Strategy",2,468,No,Yes,No,No,No,Yes,No,No,No,No,Yes
11/2/2023 12:28:08,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Fighting, Rhythm Games",5,754,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
11/2/2023 18:12:14,Yes,"Sports, Open World, Action, Racing",2,374,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
11/2/2023 18:17:43,No,None,0,376,No,No,No,No,No,No,No,No,No,No,No
11/2/2023 21:25:40,Yes,"Open World, Action, Racing, Strategy, Fighting",4,212,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
11/4/2023 11:00:24,No,None,0,523,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 11:05:40,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Platform, Racing",4,572,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
11/4/2023 11:08:14,No,None,0,439,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:29:32,No,None,0,717,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:30:16,No,None,0,692,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:30:48,No,None,0,1245,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:30:57,No,None,0,879,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:31:12,No,None,0,539,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:31:19,No,None,0,631,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:32:01,No,None,0,971,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:32:35,No,None,0,1043,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:32:56,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Strategy, Rhythm Games",9,831,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
11/4/2023 12:34:00,No,None,0,4712,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:34:09,No,None,0,2314,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:34:23,No,None,0,751,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:35:15,No,None,0,918,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:36:07,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Racing, Strategy, Rogue-Like",13,819,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
11/4/2023 12:36:55,Yes,"Sports, Adventure, Platform, Fighting, Rhythm Games",5,492,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
11/4/2023 12:37:54,No,None,0,612,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:38:32,No,None,0,891,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:38:45,No,None,0,1978,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:39:20,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",4,978,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
11/4/2023 12:41:30,No,None,0,712,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:41:43,No,None,0,5391,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:42:12,No,None,0,3192,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:42:41,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games, Rogue-Like",5,1012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/4/2023 12:43:02,No,None,0,989,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:43:16,No,None,0,1032,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:44:27,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",5,1091,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/4/2023 12:44:37,No,None,0,3145,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:44:55,No,None,0,918,No,No,No,No,No,No,No,No,No,No,No
11/4/2023 12:45:13,Yes,"Massively Multiplayer Online, Sports, Role Playing Game, Action, Adventure, Strategy, Fighting",4,1732,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
11/4/2023 12:46:00,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Adventure, Strategy, Fighting, Rhythm Games, Gacha",7,1725,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
11/4/2023 12:46:25,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",6,617,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11/4/2023 20:43:36,Yes,"Massively Multiplayer Online, Role Playing Game, Action, Adventure, Platform, Strategy, Fighting, Rhythm Games, Hentai",10,1800,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
